Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-9.54880772586375E-07,0.0464116058279854,0.0121268540557259,0,0,0,0.727501628669828,0.00247370771659153,1.75628213091057E-08,1.38332715719944E-08,0.00245934745224797,-3.59628508890815E-08,0.00248312387112852,0,0,0,0,0,0,package://V000_cam/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://V000_cam/meshes/body.STL,,body_subassem-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
00,-0.044030080474816,-3.63001309802713E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848243850675E-14,-6.41822721081613E-10,7.58096552667325E-05,-6.41822721081613E-10,3.22965690401588E-05,0,0,0,0,0,0,package://V000_cam/meshes/00.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/00.STL,,frame-1,Origin_body_00,Axis_body_00,body_00,continuous,-0.0698586132052743,-0.0961520988773181,-0.011848133692922,3.14159265358978,1.38208579601134,0.942477796076927,body,1,0,0,0,0,0,0,,,,,,,,
01,-1.45200523912759E-06,-1.45200523916922E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957240136024E-13,-2.79364977312629E-09,8.52661387999371E-05,-2.79364977309919E-09,3.22965686296139E-05,0,0,0,0,0,0,package://V000_cam/meshes/01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/01.STL,,frame-2,Origin_00_01,Axis_00_01,00_01,fixed,-0.0440297174735062,0,0.0812000000000001,0,0,1.5707963267949,00,0.809016994374945,-0.110264089708266,-0.577350269189628,0,0,0,0,,,,,,,,
02,-1.66533453693773E-16,-0.0532160764699449,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615451,-8.87690528722507E-19,2.3039296165317E-19,5.44190175587167E-05,6.08030153794323E-05,0.000394411456477928,0,0,0,0,0,0,package://V000_cam/meshes/02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/02.STL,,frame-3,Origin_01_02,Axis_01_02,01_02,fixed,0,0,0.0812,0,0,0,01,0.809016994374947,-0.110264089708267,-0.577350269189627,0,0,0,0,,,,,,,,
10,-0.0267710126538516,-3.63001309768018E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848358200123E-14,-6.41822721012526E-10,7.58096552667325E-05,-6.4182272104519E-10,3.22965690401587E-05,0,0,0,0,0,0,package://V000_cam/meshes/10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/10.STL,,frame-25,Origin_body_10,Axis_body_10,body_10,continuous,-0.116112807904595,0.0377273413418564,0.00510453297153175,-3.14159265358977,1.38208579601134,-0.314159265358966,body,1,0,0,0,0,0,0,,,,,,,,
11,-1.4520052390235E-06,-1.4520052390582E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320178E-05,2.18957268935144E-13,-2.79364977320083E-09,8.52661387999372E-05,-2.79364977320512E-09,3.22965686296139E-05,0,0,0,0,0,0,package://V000_cam/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/11.STL,,frame-24,Origin_10_11,Axis_10_11,10_11,fixed,-0.0267706496525418,0,0.0812000000000001,0,0,1.5707963267949,10,-0.309016994374955,-0.178411044886539,-0.934172358962714,0,0,0,0,,,,,,,,
12,-1.2490009027033E-16,-0.0532160764699449,0.0531179899870651,0,0,0,0.141254271685154,0.000416559633615452,-9.82558218814988E-20,1.35525271560688E-20,5.44190175587166E-05,6.0803015379432E-05,0.000394411456477929,0,0,0,0,0,0,package://V000_cam/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/12.STL,,frame-23,Origin_11_12,Axis_11_12,11_12,fixed,0,0,0.0812000000000001,0,0,0,11,-0.30901699437495,-0.178411044886539,-0.934172358962716,0,0,0,0,,,,,,,,
20,-0.0494852951359748,-3.6300130976108E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414575E-05,1.36848231145181E-14,-6.41822721021261E-10,7.58096552667325E-05,-6.4182272105959E-10,3.22965690401587E-05,0,0,0,0,0,0,package://V000_cam/meshes/20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/20.STL,,frame-28,Origin_body_20,Axis_body_20,body_20,continuous,0.112060329033112,0.0364106111379437,-0.017206501635675,3.14159265358977,1.38208579601134,-2.82743338823083,body,1,0,0,0,0,0,0,,,,,,,,
21,-1.45200523900268E-06,-1.45200523904432E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.1895725622965E-13,-2.79364977321608E-09,8.52661387999372E-05,-2.79364977319977E-09,3.2296568629614E-05,0,0,0,0,0,0,package://V000_cam/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/21.STL,,frame-27,Origin_20_21,Axis_20_21,20_21,fixed,-0.0494849321346651,0,0.0812000000000001,0,0,1.5707963267949,20,-0.30901699437495,0.178411044886539,0.934172358962716,0,0,0,0,,,,,,,,
22,-1.2490009027033E-16,-0.0532160764699449,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615452,-3.5067164016328E-19,1.0842021724855E-19,5.44190175587168E-05,6.08030153794327E-05,0.000394411456477929,0,0,0,0,0,0,package://V000_cam/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V000_cam/meshes/22.STL,,frame-26,Origin_21_22,Axis_21_22,21_22,fixed,0,0,0.0812,0,0,0,21,-0.309016994374955,0.178411044886539,0.934172358962714,0,0,0,0,,,,,,,,
